class	path	image
Decal	Workspace.Military.Industrial Port.Brutus.Head.mouth	rbxassetid://2813767341
Decal	Workspace.Military.Industrial Port.Brutus.Head.eyes	rbxassetid://2801605712
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Model.Floor.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Model.Floor.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Model.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Scav Camps.SmallCamp.Part.Texture	rbxassetid://3692205069
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/cloth_Plane.012.Texture	rbxassetid://106732014435111
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/cloth_Plane.012.Texture	rbxassetid://106732014435111
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/cloth_Plane.012.Texture	rbxassetid://106732014435111
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/cloth_Plane.012.Texture	rbxassetid://106732014435111
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/cloth_Plane.012.Texture	rbxassetid://106732014435111
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/cloth_Plane.012.Texture	rbxassetid://106732014435111
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.008.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.008.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.008.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.008.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.008.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.008.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.009.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.009.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.009.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.009.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.009.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.009.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.005.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.005.Texture	rbxassetid://121046484900689
Texture	Workspace.Monuments.Lighthouse.Lighhthouse.Model.Model.Meshes/lighthousetop_Cylinder.005.Texture	rbxassetid://121046484900689
