class	path	meshId	textureId
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686853816	rbxassetid://118295297306899
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightUpperLeg	rbxassetid://14649188564	
MeshPart	Workspace.Military.Industrial Port.Brutus.RightFoot	rbxassetid://16280214449	
MeshPart	Workspace.Military.Industrial Port.Brutus.UpperTorso	rbxassetid://16280213138	
MeshPart	Workspace.Military.Industrial Port.Brutus.RightLowerLeg	rbxassetid://16280214437	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightUpperArm	rbxassetid://14649188602	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686860633	rbxassetid://93368550832955
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.LeftHand	rbxassetid://14649188556	
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Armor	rbxassetid://13970947521	rbxassetid://13970947562
MeshPart	Workspace.Military.Industrial Port.Brutus.LeftLowerLeg	rbxassetid://16280214450	
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Armor	rbxassetid://13970942767	rbxassetid://13970942796
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.RightHand	rbxassetid://14649188558	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686858934	rbxassetid://115427669243952
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftFoot	rbxassetid://14649188555	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865807309	rbxassetid://86318596879303
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16633578273	rbxassetid://120654213017136
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806965	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806054	rbxassetid://102721041713067
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16633578148	rbxassetid://88975530448400
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.UpperTorso	rbxassetid://14649188588	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806211	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806054	rbxassetid://102721041713067
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16633577058	rbxassetid://16634140543
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806861	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806745	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806560	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865807232	rbxassetid://86318596879303
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865807952	rbxassetid://16867622113
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://16865806384	
MeshPart	Workspace.Military.Industrial Port.Brutus.Head	rbxassetid://16280214405	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13970948413	rbxassetid://103278884311899
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightLowerLeg	rbxassetid://14649188563	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftLowerArm	rbxassetid://14649188601	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://18311959133	rbxassetid://79766396157986
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686853356	rbxassetid://115366644401976
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.UpperTorso	rbxassetid://14649188588	
MeshPart	Workspace.Military.Industrial Port.Brutus.LeftUpperArm	rbxassetid://16280214463	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftUpperLeg	rbxassetid://14649188564	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13970941256	rbxassetid://103278884311899
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://18311959129	rbxassetid://93368550832955
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftUpperArm	rbxassetid://14649188602	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686853891	rbxassetid://107889042439274
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightLowerLeg	rbxassetid://14649188563	
MeshPart	Workspace.Military.Industrial Port.Brutus.LeftUpperLeg	rbxassetid://16280214426	
MeshPart	Workspace.Military.Industrial Port.Brutus.LeftLowerArm	rbxassetid://16280214452	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686853586	rbxassetid://72840701380412
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LowerTorso	rbxassetid://14649188580	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightUpperLeg	rbxassetid://14649188564	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13970941256	rbxassetid://103278884311899
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Main		rbxassetid://103264419485406
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.Handle	rbxassetid://81567404865137	rbxassetid://103264419485406
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.mainstock_low	rbxassetid://111998293971942	rbxassetid://103645845023000
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.Model.Plane.001	rbxassetid://117569022580508	rbxassetid://71689075876980
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.Model.Cylinder.012	rbxassetid://138085573853953	rbxassetid://97096299807608
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.ammos.Cylinder.002	rbxassetid://87246680336201	rbxassetid://89467897985343
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.ammos.Cylinder.004	rbxassetid://133923025319531	rbxassetid://89467897985343
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.ammos.Cylinder.006	rbxassetid://100746545995250	rbxassetid://89467897985343
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.ammos.Cylinder.003	rbxassetid://126855420387416	rbxassetid://89467897985343
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.ammos.Cylinder.001	rbxassetid://96697296246565	rbxassetid://89467897985343
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.ammos.Cylinder.005	rbxassetid://118362402140310	rbxassetid://89467897985343
MeshPart	Workspace.Military.Industrial Port.Brutus.Default.Launcher.cylinderammo	rbxassetid://125962241058907	rbxassetid://138262197758578
MeshPart	Workspace.Military.Industrial Port.Brutus.LeftHand	rbxassetid://16280214429	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Head	rbxassetid://14649188568	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13369870822	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://15367876133	rbxassetid://101903368570319
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13369870564	rbxassetid://13369892744
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://133834102453555	rbxassetid://74567491538680
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://99022636797549	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://15335857396	rbxassetid://88792946742153
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686858934	rbxassetid://115427669243952
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightFoot	rbxassetid://14649188555	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13970948413	rbxassetid://103278884311899
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftLowerLeg	rbxassetid://14649188563	
MeshPart	Workspace.Military.Industrial Port.Brutus.LeftFoot	rbxassetid://16280214451	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://18311959120	rbxassetid://118295297306899
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftUpperLeg	rbxassetid://14649188564	
MeshPart	Workspace.Military.Industrial Port.Brutus.RightHand	rbxassetid://16280214425	
MeshPart	Workspace.Military.Industrial Port.Brutus.RightUpperLeg	rbxassetid://16280214428	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.RightLowerArm	rbxassetid://14649188601	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://13686853488	rbxassetid://79766396157986
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.LeftLowerLeg	rbxassetid://14649188563	
MeshPart	Workspace.Military.Industrial Port.Brutus.Brutus.Armor	rbxassetid://18311959118	rbxassetid://107889042439274
MeshPart	Workspace.Military.Industrial Port.Brutus.LowerTorso	rbxassetid://16280213137	
MeshPart	Workspace.Military.Industrial Port.Brutus.RightUpperArm	rbxassetid://16280214475	
MeshPart	Workspace.Military.Industrial Port.Brutus.RightLowerArm	rbxassetid://16280215765	
MeshPart	Workspace.Monuments.Extras.Powerlines.Main	rbxassetid://14798233907	
MeshPart	Workspace.Monuments.Extras.Powerlines.Bottom	rbxassetid://14798234106	
MeshPart	Workspace.Monuments.Extras.Powerlines.Main	rbxassetid://14798233907	
MeshPart	Workspace.Monuments.Extras.Powerlines.Bottom	rbxassetid://14798234106	
MeshPart	Workspace.Monuments.Extras.Powerlines.Main	rbxassetid://14798233907	
MeshPart	Workspace.Monuments.Extras.Powerlines.Bottom	rbxassetid://14798234106	
MeshPart	Workspace.Monuments.Extras.Powerlines.Bottom	rbxassetid://14798234106	
MeshPart	Workspace.Monuments.Extras.Powerlines.Main	rbxassetid://14798233907	
MeshPart	Workspace.Monuments.Extras.Powerlines.Bottom	rbxassetid://14798234106	
MeshPart	Workspace.Monuments.Extras.Powerlines.Main	rbxassetid://14798233907	
MeshPart	Workspace.Monuments.Extras.Powerlines.Main	rbxassetid://14798233907	
MeshPart	Workspace.Monuments.Extras.Powerlines.Bottom	rbxassetid://14798234106	
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/Props_Cylinder.006	rbxassetid://15186614167	rbxassetid://15186632484
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/Props_Cylinder.006	rbxassetid://15186614167	rbxassetid://15186632484
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Meshes/Building1	rbxassetid://15198202344	rbxassetid://15198209783
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.002 (1)	rbxassetid://14777022140	rbxassetid://14777022217
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.002 (1)	rbxassetid://14777022140	rbxassetid://14777022217
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Model.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.BusStops.BusStop.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Cylinder.005	rbxassetid://14208484906	rbxassetid://14208505836
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/Building3	rbxassetid://15199412523	rbxassetid://15200080227
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022648
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cube.001	rbxassetid://15186614556	rbxassetid://15186623205
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cylinder.009	rbxassetid://15186614468	rbxassetid://15186626233
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Detail	rbxassetid://14648950670	rbxassetid://14587061765
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Detail	rbxassetid://14648950670	rbxassetid://14587061765
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Detail	rbxassetid://14648950670	rbxassetid://14587061765
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Detail	rbxassetid://14648950670	rbxassetid://14587061765
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/WoodGuardTower	rbxassetid://15197775054	rbxassetid://15197783162
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.ClimbPart	rbxassetid://14775111789	rbxassetid://14775116302
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.ClimbPart	rbxassetid://14775111789	rbxassetid://14775116302
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/WoodGuardTower	rbxassetid://15197775054	rbxassetid://15197783162
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Barricade	rbxassetid://14812472696	rbxassetid://14812483630
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Barricade	rbxassetid://14812472696	rbxassetid://14812483630
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Barricade	rbxassetid://14812472696	rbxassetid://14812483630
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cube.001	rbxassetid://15186614556	rbxassetid://15186623205
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.ClimbPart	rbxassetid://14775111789	rbxassetid://14775116302
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/WoodGuardTower	rbxassetid://15197775054	rbxassetid://15197783162
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cube.001	rbxassetid://15186614556	rbxassetid://15186623205
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cube.001	rbxassetid://12893213518	rbxassetid://14771370034
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cylinder.004	rbxassetid://12893216510	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cube.003	rbxassetid://12893214977	rbxassetid://14771371977
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cylinder.003	rbxassetid://12893216140	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cube.004	rbxassetid://12893215344	rbxassetid://14771371977
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cube	rbxassetid://12893213864	rbxassetid://14771371977
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cylinder.001	rbxassetid://12893214300	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cylinder.002	rbxassetid://12893215755	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/FallenShippingContainer_Cube.002	rbxassetid://12893214640	rbxassetid://14771371977
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cylinder.009	rbxassetid://15186614468	rbxassetid://15186626233
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/WoodBox	rbxassetid://15222997162	rbxassetid://15223002573
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/WoodBoxCrate	rbxassetid://15257216339	rbxassetid://15257220805
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.ClimbPart	rbxassetid://14775111789	rbxassetid://14775116302
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/WoodGuardTower	rbxassetid://15197775054	rbxassetid://15197783162
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Meshes/Building2 (1)	rbxassetid://15200181514	rbxassetid://15200193062
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.001 (1)	rbxassetid://14777021900	rbxassetid://14777021972
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Model.Model.Meshes/sheet metal_Plane.004	rbxassetid://14777022586	rbxassetid://14777022391
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/CampFire (1)	rbxassetid://15188349192	rbxassetid://15188375010
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/StreetLight_Plane.005	rbxassetid://15249383555	rbxassetid://15221519189
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.001	rbxassetid://12893213518	rbxassetid://14770825601
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/6_6_2_low	rbxassetid://15257493411	rbxassetid://15257560546
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.001	rbxassetid://12893213518	rbxassetid://14770825601
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.003	rbxassetid://12893214977	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.001	rbxassetid://12893213518	rbxassetid://14770825601
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cylinder.003	rbxassetid://12893216140	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/6_6_3_low	rbxassetid://15257493514	rbxassetid://15257561790
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.003	rbxassetid://12893214977	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cylinder.001	rbxassetid://12893214300	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.004	rbxassetid://12893215344	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/GarbageBin	rbxassetid://14786489914	rbxassetid://14786493709
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cylinder.006	rbxassetid://15186614167	rbxassetid://15186632484
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cube.001	rbxassetid://15186614556	rbxassetid://15186623205
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Props_Cube.001	rbxassetid://15186614556	rbxassetid://15186623205
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube	rbxassetid://12893213864	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cylinder.001	rbxassetid://12893214300	rbxassetid://14770798151
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.004	rbxassetid://12893215344	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube.002	rbxassetid://12893214640	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube	rbxassetid://12893213864	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenShippingContainer_Cube	rbxassetid://12893213864	rbxassetid://14770821809
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.ClimbPart	rbxassetid://14775111674	rbxassetid://14775117560
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/FallenPropList1_Pallet	rbxassetid://14208485314	rbxassetid://14208503854
MeshPart	Workspace.Monuments.Scav Camps.SmallCamp.Meshes/Tires_Cylinder.003	rbxassetid://14770829180	rbxassetid://14770835405
