path	soundId
Workspace.Military.Industrial Port.Brutus.HumanoidRootPart.Walk	rbxassetid://6743861466
Workspace.Military.Industrial Port.Brutus.HumanoidRootPart.Shoot	rbxassetid://16490211549
Workspace.Monuments.Diving Inn.Diving Inn.FishingVillageSoundPart.Electronic Alarms (E)	rbxassetid://9044865720
Workspace.Plants.Wool Plant.Main.Place	rbxassetid://9114098785
Workspace.Plants.Wool Plant.Main.Place	rbxassetid://9114098785
Workspace.Plants.Wool Plant.Main.Place	rbxassetid://9114098785
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.FootstepsMetal	rbxassetid://6746451498
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Drown	rbxassetid://9120310564
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Stone PickaxeSwing	rbxassetid://9113305311
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.WalkWater	rbxassetid://9120588098
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Wooden BowDraw	rbxassetid://9125407493
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.FootstepsMud	rbxassetid://6361856730
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Stone HatchetSwing	rbxassetid://9113305311
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.DigWithShovel	rbxassetid://9114084060
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.BoulderSwing	rbxassetid://9113305311
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Wooden BowShoot	rbxassetid://609348009
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.FootstepsRock	rbxassetid://6743861466
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Crunch	rbxassetid://9125467397
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.FootstepsWood	rbxassetid://9083826864
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.DigWithHand	rbxassetid://9120633824
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Eat	rbxassetid://7029475752
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Gulp	rbxassetid://9114688047
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.FootstepsGrass	rbxassetid://9083837523
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Stone SpearSwing	rbxassetid://9119699577
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.FootstepsSand	rbxassetid://173656827
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.BandageBandageSound	rbxassetid://9113822448
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.GunEmpty	rbxassetid://9119713951
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.Equip	rbxassetid://9117187958
Workspace.VFX.Ragdolls.benjamin20021342637.HumanoidRootPart.LighterFlick	rbxassetid://1773984066
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	rbxassetid://9113880610
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Place	rbxassetid://9114129572
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Beep	rbxassetid://9117060368
Workspace.Bases.Base.Base Cabinet.Base Cabinet.Main.Denied	rbxassetid://9113880610
