class	name	path	child_count	referent
Workspace	Workspace	Workspace	27	0
Players	Players	Players	0	29750
Lighting	Lighting	Lighting	9	29751
MaterialService	MaterialService	MaterialService	81	29761
ReplicatedFirst	ReplicatedFirst	ReplicatedFirst	2	29878
ReplicatedStorage	ReplicatedStorage	ReplicatedStorage	39	29886
ServerScriptService	ServerScriptService	ServerScriptService	0	62173
ServerStorage	ServerStorage	ServerStorage	0	62174
StarterGui	StarterGui	StarterGui	4	62175
StarterPack	StarterPack	StarterPack	0	62494
StarterPlayer	StarterPlayer	StarterPlayer	3	62495
Teams	Teams	Teams	2	62756
SoundService	SoundService	SoundService	13	62759
Chat	Chat	Chat	0	62783
TextChatService	TextChatService	TextChatService	8	62784
LocalizationService	LocalizationService	LocalizationService	0	63095
JointsService	JointsService	JointsService	0	63096
Script	README	README	0	63097
